2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1441 Administrative clerks,65,60,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1471 Shippers and receivers,65,60,55,0,0,0.85,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,2171 Information systems analysts and consultants,65,65,55,0,0,0.85,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",65,60,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6661 Light duty cleaners,65,60,45,0,0,0.69,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1474 Purchasing and inventory clerks,60,55,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"3413 Nurse aides, orderlies and patient service associates",60,55,50,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"5254 Program leaders and instructors in recreation, sport and fitness",60,55,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6231 Insurance agents and brokers,60,60,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6651 Security guards and related occupations/6465 Other protective service occupations,60,65,65,0,0,1.08,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,0911 Manufacturing managers,55,55,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,4131 College and other vocational instructors,55,55,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,4212 Community and social service workers,55,55,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,0114 Other administrative services managers,50,45,45,0,0,0.90,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1454 Survey interviewers and statistical clerks,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7294 Painters and decorators,50,45,50,0,0,1.00,0.00,0.00,,
