2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1474 Purchasing and inventory clerks,90,90,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2225 Landscape and horticultural technicians and specialists,90,85,85,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7253 Gas fitters,90,85,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,8231 Underground production and development miners,90,90,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"8232 Oil and gas well drillers, servicers, testers and related workers",90,85,80,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1414 Receptionists and switchboard operators/1424 Telephone operators,85,90,80,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1433 Customer service representatives - financial services,85,85,90,0,0,1.06,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",85,85,85,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6262 Fire-fighters,85,80,85,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6452 Bartenders,85,80,75,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7251 Plumbers,85,85,85,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"2274 Engineer officers, water transport",80,60,55,0,0,0.69,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,4131 College and other vocational instructors,80,75,70,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7621 Public works and maintenance labourers,80,80,60,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9617 Labourers in food, beverage and tobacco processing",80,75,55,0,0,0.69,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0112 Human resources managers,75,75,75,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,3414 Other assisting occupations in support of health services,75,75,55,0,0,0.73,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"7212 Contractors and supervisors, electrical trades and telecommunications occupations",75,70,70,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"7252 Steamfitters, pipefitters and sprinkler system installers",75,75,65,0,0,0.87,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1475 Dispatchers and radio operators,70,70,65,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6231 Insurance agents and brokers,70,75,65,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6662 Specialized cleaners,70,65,65,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0912 Utilities managers,65,60,65,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1122 Professional occupations in business services to management,65,65,65,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2153 Urban and land use planners,65,65,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6211 Retail trade supervisors,65,65,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7322 Motor vehicle body repairers,65,65,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9512 Forging machine operators/9514 Metalworking machine operators,65,65,25,0,0,0.38,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0713 Transportation managers,60,55,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1111 Financial auditors and accountants,60,60,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"1215 Supervisors, recording, distributing and scheduling occupations",60,60,45,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"1235 Assessors, valuators and appraisers",60,55,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2283 Systems testing technicians,60,60,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"5254 Program leaders and instructors in recreation, sport and fitness",60,45,45,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6611 Cashiers,60,50,40,0,0,0.67,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6661 Light duty cleaners,60,65,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7312 Heavy-duty equipment mechanics,60,60,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"0643 Commissioned officers, Armed Forces",55,50,45,0,0,0.82,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"1213 Supervisors, library, correspondence and related information clerks",55,45,45,0,0,0.82,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1224 Property administrators,55,50,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2145 Petroleum engineers,55,60,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"4161 Natural and applied science policy researchers, consultants and program officers",55,55,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6212 Food service supervisors,55,50,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"8222 Supervisors, oil and gas drilling and service",55,50,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9486 Mechanical assemblers and inspectors,55,45,40,0,0,0.73,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9511 Machining tool operators,55,55,45,0,0,0.82,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1441 Administrative clerks,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"1461 Mail, postal and related clerks",50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1476 Transportation route and crew schedulers,50,50,40,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"6671 Operators and attendants in amusement, recreation and sport",50,30,20,0,0,0.40,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7232 Tool and die makers,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7247 Cable television service and maintenance technicians,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7445 Other repairers and servicers,50,55,45,0,0,0.90,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7612 Other trades helpers and labourers,50,50,40,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9212 Supervisors, petroleum, gas and chemical processing and utilities",50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"0121 Insurance, real estate and financial brokerage managers",45,40,40,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1454 Survey interviewers and statistical clerks,45,45,45,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2172 Database analysts and data administrators,45,40,45,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,3152 Registered nurses,45,40,35,0,0,0.78,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,4163 Business development officers and marketing researchers and consultants,45,40,35,0,0,0.78,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1114 Other financial officers,40,35,30,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1232 Loan officers,40,45,45,0,0,1.13,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,4212 Community and social service workers,40,35,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,5242 Interior designers,40,40,45,0,0,1.13,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6435 Hotel front desk clerks,40,35,40,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7294 Painters and decorators,40,40,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7422 Public works maintenance equipment operators,40,45,0,0,0,0.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7437 Air transport ramp attendants,40,40,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9422 Plastics processing machine operators,40,45,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9481 Aircraft assemblers and aircraft assembly inspectors,40,40,45,0,0,1.13,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9484 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",40,30,25,0,0,0.63,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9619 Other labourers in processing, manufacturing and utilities",40,25,25,0,0,0.63,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"1228 Immigration, employment insurance and revenue officers",35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1233 Insurance adjusters and claims examiners,35,30,30,0,0,0.86,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7412 Bus drivers and subway and other transit operators,35,30,30,0,0,0.86,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7443 Automotive mechanical installers and servicers,35,25,25,0,0,0.71,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"8255 Landscaping and grounds maintenance contractors and managers/8256 Supervisors, landscape and horticulture",35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,8412 Oil and gas well drilling workers and services operators,35,30,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"8615 Oil and gas drilling, servicing and related labourers",35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9414 Concrete, clay and stone forming operators",35,40,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9461 Process control and machine operators, food and beverage processing/9464 Tobacco processing machine operators",35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"0122 Banking, credit and other investment managers",30,35,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2262 Engineering inspectors and regulatory officers,30,30,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,4122 Post-secondary teaching and research assistants,30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,5224 Broadcast technicians,30,30,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6216 Other service supervisors/6214 Dry cleaning and laundry supervisors,30,25,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6233 Retail and wholesale buyers,30,30,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6241 Chefs,30,20,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6431 Travel counsellors,30,25,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"6463 By-law enforcement and other regulatory officers, n.e.c.",30,30,35,0,0,1.17,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"7211 Supervisors, machinists and related occupations/7214 Contractors and supervisors, metal forming, shaping and erecting trades",30,25,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7261 Sheet metal workers,30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7292 Glaziers,30,10,10,0,0,0.33,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7413 Taxi and limousine drivers and chauffeurs,30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,8431 General farm workers,30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9213 Supervisors, food, beverage and tobacco processing",30,30,35,0,0,1.17,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9226 Supervisors, other mechanical and metal products manufacturing",30,35,35,0,0,1.17,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0131 Telecommunication carriers managers,25,20,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0211 Engineering managers,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1231 Bookkeepers,25,20,20,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1241 Secretaries (except legal and medical),25,25,15,0,0,0.60,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"1434 Banking, insurance and other financial clerks",25,25,20,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"2148 Other professional engineers, n.e.c.",25,25,30,0,0,1.20,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2152 Landscape architects,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"2271 Air pilots, flight engineers and flying instructors",25,30,30,0,0,1.20,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,3211 Medical laboratory technologists and pathologists' assistants,25,25,30,0,0,1.20,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,5121 Authors and writers,25,30,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6621 Service station attendants,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"7215 Contractors and supervisors, carpentry trades",25,20,15,0,0,0.60,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"7216 Contractors and supervisors, mechanic trades",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7281 Bricklayers,25,20,20,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7291 Roofers and shinglers,25,20,15,0,0,0.60,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7293 Insulators,25,25,20,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7381 Printing press operators,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"8221 Supervisors, mining and quarrying",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9211 Supervisors, mineral and metal processing",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9214 Supervisors, plastic and rubber products manufacturing",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9485 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9498 Other assemblers and inspectors/9517 Other products machine operators,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0111 Financial managers,20,25,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0114 Other administrative services managers,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1121 Specialists in human resources,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1222 Executive assistants,20,25,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1223 Personnel and recruitment officers,20,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1413 Records management and filing clerks,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2221 Biological technologists and technicians,20,15,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,3234 Ambulance attendants and other paramedical occupations,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"3413 Nurse aides, orderlies and patient service associates",20,20,25,0,0,1.25,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,4215 Instructors and teachers of persons with disabilities,20,15,15,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,5124 Professional occupations in public relations and communications,20,15,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6443 Casino occupations,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7272 Cabinetmakers,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7318 Elevator constructors and mechanics,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7332 Electric appliance servicers and repairers,20,15,15,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"9415 Inspectors and testers, mineral and metal processing",20,15,15,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9492 Furniture and fixture assemblers and inspectors,20,15,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"0013 Senior managers - financial, communications and other business services",15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"0016 Senior managers - goods production, utilities, transportation and construction",15,10,10,0,0,0.67,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,0651 Other services managers,15,15,15,0,0,1.00,0.00,0.00,,
