"2013 National Graduates Survey (Class of 2009/2010) - Number of graduates by educational information, labour market outcome three years after graduation and whether they would choose the same field of study again",,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,EMPLOYMENT_STATUS,EMPLOYMENT_STATUS_CODE,WOULD_CHOOSE_SAME_FIELD_OF_STUDY_COMPLETED_AGAIN,WOULD_CHOOSE_SAME_FIELD_OF_STUDY_COMPLETED_AGAIN_CODE,COUNTS,Percent
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Total,LFA0,Yes,CFOS01,1124,0.769863014
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Total,LFA0,No,CFOS02,335,0.229452055
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Total,LFA0,Total,CFOS0,1460,1
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Total,LFA0,Yes,CFOS01,2314,0.802079723
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Total,LFA0,No,CFOS02,571,0.197920277
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Total,LFA0,Total,CFOS0,2885,1
Bachelor or first professional degree,LOS050,Education ,FOS203,Total,LFA0,Yes,CFOS01,14323,0.827584214
Bachelor or first professional degree,LOS050,Education ,FOS203,Total,LFA0,No,CFOS02,2984,0.172415786
Bachelor or first professional degree,LOS050,Education ,FOS203,Total,LFA0,Total,CFOS0,17307,1
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Total,LFA0,Yes,CFOS01,8588,0.849540014
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Total,LFA0,No,CFOS02,1520,0.150361064
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Total,LFA0,Total,CFOS0,10109,1
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Total,LFA0,Yes,CFOS01,8615,0.663713405
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Total,LFA0,No,CFOS02,4365,0.336286595
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Total,LFA0,Total,CFOS0,12980,1
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Total,LFA0,Yes,CFOS01,14043,0.713204672
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Total,LFA0,No,CFOS02,5647,0.286795328
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Total,LFA0,Total,CFOS0,19690,1
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Total,LFA0,Yes,CFOS01,21735,0.643142477
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Total,LFA0,No,CFOS02,12060,0.356857523
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Total,LFA0,Total,CFOS0,33795,1
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Total,LFA0,Yes,CFOS01,4442,0.705303271
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Total,LFA0,No,CFOS02,1856,0.294696729
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Total,LFA0,Total,CFOS0,6298,1
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Total,LFA0,Yes,CFOS01,17376,0.84092339
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Total,LFA0,No,CFOS02,3287,0.15907661
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Total,LFA0,Total,CFOS0,20663,1
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Total,LFA0,Yes,CFOS01,23393,0.744146838
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Total,LFA0,No,CFOS02,8042,0.255821351
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Total,LFA0,Total,CFOS0,31436,1
Bachelor or first professional degree,LOS050,Total,FOS2,Total,LFA0,Yes,CFOS01,116842,0.739244318
Bachelor or first professional degree,LOS050,Total,FOS2,Total,LFA0,No,CFOS02,41214,0.260755682
Bachelor or first professional degree,LOS050,Total,FOS2,Total,LFA0,Total,CFOS0,158056,1
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Total,LFA0,Yes,CFOS01,766,0.826321467
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Total,LFA0,No,CFOS02,161,0.173678533
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Total,LFA0,Total,CFOS0,927,1
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Total,LFA0,Yes,CFOS01,1242,0.831325301
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Total,LFA0,No,CFOS02,252,0.168674699
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Total,LFA0,Total,CFOS0,1494,1
Master's degree,LOS070,Education ,FOS203,Total,LFA0,Yes,CFOS01,3796,0.877282182
Master's degree,LOS070,Education ,FOS203,Total,LFA0,No,CFOS02,531,0.122717818
Master's degree,LOS070,Education ,FOS203,Total,LFA0,Total,CFOS0,4327,1
