"2013 National Graduates Survey (Class of 2009/2010) - Number of employed graduates, by educational information and extent to which their job was related to their certificate, diploma or degree",,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB_CODE,COUNTS,Percent
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Trades and engineering technologies/technicians ,FOS104,Total,JFOS0,20098,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Personal and culinary services and transportation ,FOS113,Closely related,JFOS01,2585,0.6475
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Personal and culinary services and transportation ,FOS113,Somewhat related,JFOS02,551,0.1380
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Personal and culinary services and transportation ,FOS113,Not related at all,JFOS03,856,0.2144
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Personal and culinary services and transportation ,FOS113,Total,JFOS0,3992,1.00
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Total,FOS1,Closely related,JFOS01,62957,0.6045
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Total,FOS1,Somewhat related,JFOS02,19595,0.1881
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Total,FOS1,Not related at all,JFOS03,21596,0.2074
College or CEGEP diploma or certificate (includes DEC general in Quebec),LOS040,Total,FOS1,Total,JFOS0,104148,1.00
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Closely related,JFOS01,679,0.5494
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Somewhat related,JFOS02,371,0.3002
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Not related at all,JFOS03,186,0.1505
Bachelor or first professional degree,LOS050,"Agriculture, natural resources and conservation ",FOS201,Total,JFOS0,1236,1.00
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Closely related,JFOS01,1362,0.5894
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Somewhat related,JFOS02,630,0.2726
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Not related at all,JFOS03,319,0.1380
Bachelor or first professional degree,LOS050,"Computer science, mathematics and statistics ",FOS202,Total,JFOS0,2311,1.00
Bachelor or first professional degree,LOS050,Education ,FOS203,Closely related,JFOS01,11312,0.7666
Bachelor or first professional degree,LOS050,Education ,FOS203,Somewhat related,JFOS02,1325,0.0898
Bachelor or first professional degree,LOS050,Education ,FOS203,Not related at all,JFOS03,2120,0.1437
Bachelor or first professional degree,LOS050,Education ,FOS203,Total,JFOS0,14757,1.00
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Closely related,JFOS01,6325,0.6784
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Somewhat related,JFOS02,0,0.0000
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Not related at all,JFOS03,0,0.0000
Bachelor or first professional degree,LOS050,Architecture and engineering ,FOS204,Total,JFOS0,9323,1.00
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Closely related,JFOS01,2702,0.3129
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Somewhat related,JFOS02,2411,0.2792
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Not related at all,JFOS03,3522,0.4079
Bachelor or first professional degree,LOS050,Physical and life sciences technologies ,FOS205,Total,JFOS0,8635,1.00
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Closely related,JFOS01,4806,0.2937
