"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"1435396289","04/30/15","Esportal Invitational 4","LC","M5","RADIANT","Quarterfinals","3","52.38","39 - 40"
"1435367141","04/30/15","jD MLG EU Qualifiers 2","HoG.","BBC","DIRE","","","36.40","8 - 21"
"1435327813","04/30/15","DreamLeague 3 Main Qualifier 4","mouz 2","HR","RADIANT","Semifinals","1","63.40","35 - 39"
"1435323535","04/30/15","Esportal Invitational 4","M5","LC","RADIANT","Quarterfinals","2","29.63","48 - 16"
"1435214788","04/30/15","Esportal Invitational 4","LC","M5","RADIANT","Quarterfinals","1","43.68","35 - 23"
"1435150785","04/30/15","ESL One Frankfurt 2015 EU Qualifiers","C9","Empire","RADIANT","","","44.07","46 - 19"
"1435115722","04/30/15","DreamLeague 3 Main Qualifier 4","YeS","Vega","DIRE","Semifinals","2","25.53","12 - 25"
"1435087661","04/30/15","jD MLG EU Qualifiers 2","HoG.","BBC","DIRE","","","24.20","5 - 22"
"1434954696","04/30/15","ESL One Frankfurt 2015 EU Qualifiers","Empire","C9","DIRE","","","54.05","35 - 44"
"1434953004","04/30/15","Esportal Invitational 4","Power Rangers","HoG.","RADIANT","Quarterfinals","2","22.93","20 - 5"
"1434944560","04/30/15","DreamLeague 3 Main Qualifier 4","YeS","Vega","DIRE","Semifinals","1","36.53","18 - 17"
"1434796694","04/30/15","Esportal Invitational 4","HoG.","Power Rangers","RADIANT","Quarterfinals","1","45.53","30 - 39"
"1434526588","04/30/15","i-League Season 3 China Qualifiers","iG","VG.P","RADIANT","Group Stage","2","36.62","24 - 17"
"1434420082","04/30/15","i-League Season 3 China Qualifiers","VG.P","iG","DIRE","Group Stage","1","22.00","7 - 19"
"1434382304","04/30/15","jD MLG SEA Qualifiers 2","MVP Phoenix","MVP HOT6","DIRE","Semifinals","2","34.23","27 - 36"
"1434289074","04/30/15","i-League Season 3 China Qualifiers","Nb","VG","DIRE","Group Stage","2","27.60","21 - 39"
"1434232622","04/30/15","jD MLG SEA Qualifiers 2","MVP HOT6","MVP Phoenix","RADIANT","Semifinals","1","39.50","42 - 23"
"1434178118","04/30/15","i-League Season 3 China Qualifiers","VG","Nb","RADIANT","Group Stage","1","27.38","24 - 15"
"1434012664","04/30/15","jD MLG SEA Qualifiers 2","Invasion 3","Fnatic.MY","DIRE","Semifinals","2","35.57","14 - 28"
"1433909310","04/30/15","jD MLG SEA Qualifiers 2","Fnatic.MY","Invasion 3","RADIANT","Semifinals","1","38.75","24 - 16"
"1433741042","04/30/15","WCA 2015 China Qualifiers Prelims","EHOME","TongFu","RADIANT","Group Stage","2","72.38","53 - 47"
"1433651403","04/29/15","WCA 2015 China Qualifiers Prelims","TongFu","EHOME","DIRE","Group Stage","1","37.63","13 - 36"
"1433422532","04/29/15","jD MLG Americas Qualifiers 2","ROOT 2","SumsRift","DIRE","UB Semifinals","3","50.00","24 - 25"
"1433417808","04/29/15","Canada Cup 5","NoT","LvT","RADIANT","UB Quarterfinals","3","45.53","16 - 31"
"1433349470","04/29/15","jD MLG Americas Qualifiers 2","ROOT 2","SumsRift","RADIANT","UB Semifinals","2","53.33","26 - 37"
