"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"2007438099","12/16/15","Uprise Champions Cup Special","FF","TSpirit","DIRE","","","41.38","13 - 38"
"2007403374","12/16/15","ProDotA Cup Europe","Power Rangers","RP 2","RADIANT","","","44.15","31 - 19"
"2007363351","12/16/15","Uprise Champions Cup Special","TSpirit","FF","DIRE","","","32.25","17 - 33"
"2007288929","12/16/15","ProDotA Cup Europe","RP 2","Power Rangers","RADIANT","","","37.12","29 - 15"
"2007285621","12/16/15","Uprise Champions Cup Special","FF","TSpirit","DIRE","","","26.83","16 - 21"
"2007183322","12/16/15","ProDotA Cup Europe","TSpirit","KungFu","RADIANT","","","19.92","30 - 9"
"2007037370","12/16/15","ProDotA Cup Europe","TSpirit","KungFu","DIRE","","","51.70","36 - 33"
"2006895006","12/16/15","ProDotA Cup Europe","KungFu","TSpirit","DIRE","","","35.15","20 - 38"
"2006583838","12/16/15","Dota Pit League Season 4","SiG.Tr","First Departure","RADIANT","","","54.10","42 - 26"
"2006431984","12/16/15","Dota Pit League Season 4","First Departure","SiG.Tr","DIRE","","","39.00","15 - 38"
"2005569641","12/15/15","Canada Cup 6","NoT","Shazam","RADIANT","Group Stage","1","37.70","28 - 12"
"2005503490","12/15/15","Canada Cup 6","Shazam","Artyk 2","RADIANT","Group Stage","1","9.98","22 - 10"
"2005429827","12/15/15","Canada Cup 6","Boreal 2","Shazam","DIRE","Group Stage","1","44.57","28 - 40"
"2005364966","12/15/15","ProDotA Cup Americas","Shazam","WE  3","RADIANT","","","20.10","28 - 5"
"2005331304","12/15/15","ProDotA Cup Americas","WE  3","Shazam","DIRE","","","15.33","3 - 17"
"2005286781","12/15/15","ProDotA Cup Europe","PRIES 2","PD 2","RADIANT","","","27.62","30 - 17"
"2005251299","12/15/15","ProDotA Cup Europe","PD 2","PRIES 2","RADIANT","","","18.70","22 - 5"
"2005198502","12/15/15","ProDotA Cup Europe","PRIES 2","PD 2","RADIANT","","","29.87","39 - 20"
"2005172764","12/15/15","Uprise Champions Cup Special","hehe united","COOKISS","DIRE","","","63.87","26 - 44"
"2005111473","12/15/15","ProDotA Cup Europe","AF  3","YeS 2","DIRE","","","20.38","7 - 27"
"2004961905","12/15/15","ProDotA Cup Europe","YeS 2","AF  3","DIRE","","","46.35","31 - 37"
"2004926026","12/15/15","Uprise Champions Cup Special","SVB","Enso 2","DIRE","","","22.97","4 - 20"
"2004873420","12/15/15","ProDotA Cup Europe","AF  3","YeS 2","DIRE","","","26.97","4 - 33"
"2004750948","12/15/15","Uprise Champions Cup Special","PRIES 2","SVW","RADIANT","","","26.22","30 - 14"
"2003230146","12/14/15","ProDotA Cup Americas","Rocket","Archon","DIRE","","","26.52","12 - 23"
"2003198557","12/14/15","ProDotA Cup Americas","Archon 2","Rocket","RADIANT","","","22.13","16 - 17"
"2003148196","12/14/15","ProDotA Cup Europe","DB  3","Elements","DIRE","","","16.15","22 - 12"
"2003076282","12/14/15","ProDotA Cup Europe","DB  3","Elements","DIRE","","","36.18","30 - 32"
"2003052694","12/14/15","Uprise Champions Cup Special","hehe united","Enso","DIRE","","","36.07","35 - 40"
"2002996427","12/14/15","Uprise Champions Cup Special","Enso","hehe united","RADIANT","","","24.50","38 - 20"
"2002989304","12/14/15","ProDotA Cup Europe","Elements","DB  3","DIRE","","","49.33","25 - 53"
"2002813414","12/14/15","ProDotA Cup Europe","Unknown","4ASC","DIRE","","","39.33","27 - 42"
"2002783293","12/14/15","ProDota 2 National Cup","TR 2","RO","RADIANT","","","21.45","40 - 20"
"2002758774","12/14/15","Uprise Champions Cup Special","SVB","PD 2","DIRE","","","15.67","7 - 25"
"2002722066","12/14/15","ProDota 2 National Cup","TeamRO","TR 2","DIRE","","","18.18","16 - 26"
"2002702724","12/14/15","ProDotA Cup Europe","4ASC","BentBut","RADIANT","","","37.45","27 - 18"
"2002701683","12/14/15","Uprise Champions Cup Special","PD 2","SVB","RADIANT","","","13.38","13 - 0"
