"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"920186911","09/25/14","D2CL 4 America Qualifiers","NoT","paiN","RADIANT","Group Stage","2","47.30","45 - 30"
"920167656","09/25/14","StarSeries X Americas Qualifiers","NaVi.US","Nyx","DIRE","LB Finals","1","29.23","15 - 29"
"920115629","09/25/14","D2CL 4 America Qualifiers","paiN","NoT","RADIANT","Group Stage","1","59.70","59 - 35"
"920081771","09/25/14","StarSeries X Europe Qualifiers","Secret","C9","RADIANT","Group Stage","1","27.83","28 - 7"
"920012586","09/25/14","Golden League 2 Prelims","Turtle","aShock","RADIANT","","","23.60","20 - 16"
"919982081","09/25/14","StarSeries X Europe Qualifiers","C9","Fnatic.EU","RADIANT","Group Stage","1","24.30","25 - 15"
"919800834","09/25/14","Golden League 2 Prelims","Lajons","WORLD","RADIANT","","","25.63","23 - 8"
"919794214","09/25/14","Golden League 2 Prelims","Turtle","Druidz","RADIANT","","","23.15","21 - 15"
"919537818","09/25/14","StarSeries X Europe Qualifiers","AS","Cleave","DIRE","Group Stage","1","50.00","26 - 47"
"919526792","09/25/14","StarSeries X SEA Qualifiers","Titan","JR","RADIANT","Group Stage","1","21.22","24 - 10"
"919368018","09/25/14","StarSeries X SEA Qualifiers","Arrow","Invasion 3","DIRE","Group Stage","1","21.65","6 - 28"
"919266493","09/25/14","i League","Rave","Power Rangers","RADIANT","UB Quarterfinals","2","24.25","30 - 8"
"919162875","09/25/14","i League","Rave","Power Rangers","RADIANT","UB Quarterfinals","1","25.55","17 - 1"
"919022018","09/25/14","StarSeries X SEA Qualifiers","iM","Invasion 3","RADIANT","Group Stage","1","38.82","38 - 37"
"918972900","09/25/14","i League","VP","TongFu.OB","DIRE","UB Quarterfinals","3","37.10","16 - 37"
"918861227","09/25/14","i League","VP","TongFu.OB","DIRE","UB Quarterfinals","2","41.70","40 - 32"
"918826951","09/25/14","StarSeries X SEA Qualifiers","Mineski","MSI EvoGT TNC","RADIANT","Group Stage","1","44.42","38 - 41"
"918779429","09/25/14","i League","TongFu.OB","VP","DIRE","UB Quarterfinals","1","35.68","16 - 31"
"918319026","09/24/14","ESL One NY Americas Qualifiers","Gerg","coL 2","DIRE","LB Quarterfinals","3","40.40","9 - 25"
"918264820","09/24/14","D2CL 4 America Qualifiers","DD","SNA","DIRE","Group Stage","2","38.98","18 - 36"
