"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"1097824357","12/17/14","StarSeries XI Europe","Lajons","GOOMBA","DIRE","Group Stage","1","64.47","32 - 55"
"1097685514","12/17/14","StarSeries XI Europe","GOOMBA","VP 2","DIRE","Group Stage","1","75.55","50 - 68"
"1097565422","12/17/14","StarSeries XI Europe","VP 2","Lajons","DIRE","Group Stage","1","38.03","22 - 32"
"1097414597","12/17/14","StarSeries XI Europe","NEXT.kz","Lajons","DIRE","Group Stage","1","40.75","34 - 31"
"1097269483","12/17/14","StarSeries XI Europe","HR","Power Rangers","RADIANT","Group Stage","1","18.10","20 - 6"
"1097113554","12/17/14","StarSeries XI Europe","Vega","NEXT.kz","DIRE","Group Stage","1","47.02","22 - 39"
"1097069258","12/17/14","iLeague 2 China Pro Qualifiers","Nb","Bheart","RADIANT","Group Stage","2","47.57","35 - 22"
"1097005347","12/17/14","StarSeries XI SEA","MVP Phoenix","First Departure","RADIANT","UB Finals","2","39.50","29 - 31"
"1096956858","12/17/14","iLeague 2 China Pro Qualifiers","Bheart","Nb","DIRE","Group Stage","1","33.27","15 - 30"
"1096952970","12/17/14","iLeague 2 China Semi Pro Qualifiers","YFCY","HTS","DIRE","","","53.83","27 - 38"
"1096927156","12/17/14","iLeague 2 China Semi Pro Qualifiers","Orange1","SPK","RADIANT","","","17.25","28 - 1"
"1096858693","12/17/14","StarSeries XI SEA","First Departure","MVP Phoenix","DIRE","UB Finals","1","35.23","28 - 27"
"1096848796","12/17/14","iLeague 2 China Semi Pro Qualifiers","Fly","Pf","RADIANT","","","45.72","28 - 19"
"1096841484","12/17/14","iLeague 2 China Semi Pro Qualifiers","Unite.","ym","RADIANT","","","28.87","35 - 13"
"1096824369","12/17/14","iLeague 2 China Semi Pro Qualifiers","IvC","SG  3","RADIANT","","","25.18","31 - 8"
"1096824027","12/17/14","iLeague 2 China Semi Pro Qualifiers","KAOF","WDY","DIRE","","","17.82","3 - 17"
"1096806425","12/17/14","iLeague 2 China Pro Qualifiers","LaiG","LGD.cn","DIRE","Group Stage","2","49.40","26 - 37"
"1096751253","12/17/14","iLeague 2 China Semi Pro Qualifiers","WRE","D.S.","RADIANT","","","29.80","31 - 16"
"1096748535","12/17/14","iLeague 2 China Semi Pro Qualifiers","Stw","RSM","RADIANT","","","15.82","17 - 0"
"1096736931","12/17/14","iLeague 2 China Semi Pro Qualifiers","BNS","CP","DIRE","","","55.25","16 - 31"
"1096727662","12/17/14","iLeague 2 China Pro Qualifiers","LGD.cn","LaiG","RADIANT","Group Stage","1","29.77","16 - 14"
